component,name,sheet,kind,element,between,rest_state,confidence,evidence,notes
35,Ventilator fan switch,climate,switch,changeover contact,4;unlabelled;8;6,rests on unlabelled,read,book photo IMG_4725; scan p.407,"Common 4: a short line from terminal 4 to an open pivot circle about a quarter of the way in. Rest: the unlabelled bottom-right terminal, reached by a solid thick blade running down-right to a filled dot, then a short line. Work: open contact circles on the leads of 8 (dashed line rising about 38 degrees) and 6 (horizontal dashed line). One blade with three positions, probably off (rest, nothing wired), full speed (8: 105 GL 2.5 straight to the motor) and low speed (6: 104 GR through resistor 74)."
36,Ventilator fan motor,climate,motor,terminals,upper;lower,n/a,read,book photo IMG_4728; scan p.407,"No labels printed. Two small open circles on the inside of the left border, near the top-left and bottom-left corners, level with 57 rows 1 and 3. Each lead leaves to the left, and both are unlabelled. Square box, heavy outline, label 36 to the right. No earth symbol is drawn at the motor, and no internal lines join the terminals to the fan symbol."
36,Ventilator fan motor,climate,motor,motor,upper;lower,n/a,read,book photo IMG_4728; scan p.407,"Fan symbol: a large centred circle with four black wedge blades, rotated about 10-15 degrees (there is a printing speck below it). The upper terminal is the feed: 105 GL through 57 row 1, where the low-speed path through 74 also rejoins. The lower terminal returns through 57 row 3 and 107 SV 2.5 to earth joint 158 (D6). No polarity marks are printed."
38,Radiator fan relay,climate,relay,terminals,87;30/51;85;86,n/a,read,book photo IMG_4720,"On the side walls: 87 top-left and 85 bottom-left on the left wall, 30/51 top-right and 86 bottom-right on the right wall. Top pair about 25% down the box, bottom pair about 75% down; wires leave sideways. Labels: '87' above-right of its circle, '30/51' below the 30/51 lead near the right wall, '85' and '86' above their leads. '38' centred above. Outside: 111 GN 1.5 (87) and 114 SV 0.75 (85) go left then down; 110 GL 1.5 (30/51) and 113 RD 0.75 (86) go right then down, 113 inside 110. Labels printed with decimal commas (1,5 and 0,75). No diode, resistor or 87a break contact is printed."
38,Radiator fan relay,climate,relay,contact,30/51;87,open,read,book photo IMG_4720,Normally open make contact across the top. 87 runs right to the fixed contact about 30% across; 30/51 runs left to the pivot about 70% across. The blade rises up-left from the pivot and ends clearly above the fixed contact (tip slightly right of it): plainly open. Probably switches fuse 7 (110 GL) to fan motor 37 via 59 (111 GN).
38,Radiator fan relay,climate,relay,coil,85;86,n/a,read,book photo IMG_4720,"Upright rectangle in the centre bottom (about 40-59% across), from mid-height down to the inner bottom wall. 85 runs straight in to its left side and 86 to its right side, both about 40% up the coil. Slash from the left side about 20% up to the right side about 60% up. Probably fed from fuse 7 (113 RD) and earthed by thermostat switch 39 through 114 SV, connector 60 and 114a BL."
38,Radiator fan relay,climate,relay,link,coil;blade,n/a,read,book photo IMG_4720,"Mechanical link: a vertical line of three dashes from the middle of the coil's top up to the underside of the blade, between the fixed contact and the pivot."
40 (D1),Horn,,other,terminals,right face upper (120 SV 1.0);right face lower (119 RD 1.0),n/a,read,scan p.407,"No book photo covers grid D1 (IMG_4710 to 4729), so this is read on the scan only. Same symbol as the E1 horn, with no internal element printed. The upper lead runs right, then down the outer vertical as 120 SV; the lower lead runs down the inner vertical as 119 RD. So here the red lead is below the black one, the reverse of E1. Not drawn on any sheet."
40 (E1),Horn,,other,terminals,top-right corner (119 RD 1.0);right face upper (117 RD 1.5);right face lower (120 SV 1.0);bottom-right corner (118 SV 1.5),n/a,read,book photo IMG_4715; scan p.407,"No terminal labels; all four leads are on the right side, listed top to bottom. No internal element printed (no winding): a heavy square with an empty inner square, a flared trumpet on the left and '40' above. Which leads share a terminal is not printed: probably the red pair (117, 119) is + and the black pair (118, 120) the return. 120 SV crosses 117 RD with no dot. Not drawn on any sheet; power.py names it only in the 117 RD tag."
41,Horn switch,,switch,terminals,top;bottom,n/a,read,book photo IMG_4723,"No labels printed. Two open circles inside a small portrait box: top centre (to earth symbol above) and bottom centre (118 SV 1.5 down to 58 (D8) pin 1). ""41"" printed to the right."
41,Horn switch,,switch,contact,top;bottom,open,read,book photo IMG_4723,"One straight blade from the bottom circle leaning up-left to the left inner wall, level with the bottom of the top circle; it does not reach it. Top circle runs up to an earth symbol. Probably the horn push: earths 118 SV (horns 40, + on 117 RD from fuse 3)."
44,Oil warning switch,instruments,sender,terminals,earth lead;signal lead (184),n/a,read,book photo IMG_4713,"No terminal circles or names. Earth lead leaves the left wall at the bottom corner, runs left, then down to an earth symbol (no cable number). Signal lead drops from the bottom wall at its right end and runs right as 184 BL 1.0."
44,Oil warning switch,instruments,sender,contact,earth lead;signal lead (184),n/a,probably,book photo IMG_4713,"Printed only as the sender symbol: one diagonal from the inner bottom-left to the inner top-right corner of the heavy square. No contact is drawn, so no rest state. Probably a pressure switch that closes to earth at low oil pressure and lights the oil lamp."
45,Temperature transmitter,instruments,sender,terminals,earth lead;signal lead (183),n/a,read,book photo IMG_4713; book photo IMG_4714,"No terminal circles or names. Earth lead leaves the left wall at the bottom corner, runs left, then down to an earth symbol (no cable number). Signal lead drops from the bottom wall at its right end and runs right as 183 GL 1.0."
45,Temperature transmitter,instruments,sender,resistor,earth lead;signal lead (183),n/a,probably,book photo IMG_4713; book photo IMG_4714,"Printed only as the sender symbol, the same as 44: one diagonal from the inner bottom-left to the inner top-right corner. Probably a temperature-dependent resistance to earth (NTC sender)."
57 (F11),3-pole connector,climate,connector,terminals,row 1 left;row 1 right;row 2 left;row 2 right;row 3 left;row 3 right,n/a,read,book photo IMG_4725; scan p.407,"No pin numbers printed. Tall box (about 1:1.4, scan 83 x 118 px) with a very heavy outline and a thin inner outline at top and bottom. Three evenly spaced rows, each with a filled dot on the left and right inner edges. Left side, from switch 35: 105 GL 2.5 (row 1), 104 GR 1.0 (row 2), and 107 SV 2.5 (row 3), which comes down a vertical just left of the box, crosses rows 1 and 2 without dots, and turns right into row 3. Right side: rows 1 and 3 run straight to motor 36, and row 2 goes up into 74's right lead. 74's left lead lands on the top edge at the top-left corner (pin unreadable). The label 57 is above the box, between 74's two leads."
57 (F11),3-pole connector,climate,connector,link,row 1 left;row 1 right,n/a,read,book photo IMG_4725; scan p.407,Carries 105 GL 2.5 from 35:8 to 36's upper terminal. 74's output probably rejoins this node at the top-left corner.
57 (F11),3-pole connector,climate,connector,link,row 2 left;row 2 right,n/a,read,book photo IMG_4725; scan p.407,Carries 104 GR 1.0 from 35:6. The right side goes only up into 74's right lead.
57 (F11),3-pole connector,climate,connector,link,row 3 left;row 3 right,n/a,read,book photo IMG_4725; scan p.407,Carries 107 SV 2.5 from earth joint 158 (D6) to 36's lower terminal. This is the fan motor's earth return.
58 (B11),12-pole connector,radio,connector,terminals,row 1 left;row 1 right;row 2 left;row 2 right;row 3 left;row 3 right;row 4 left;row 4 right;row 5 left;row 5 right,n/a,read,book photo IMG_4726; scan p.407,"No pin numbers are printed, so the names are positional (rows top to bottom). Tall narrow box with ""58"" centred above it. Five evenly spaced pin rows, each with a filled dot just inside the left edge and another just inside the right edge. The bottom edge is drawn as heavy dashes: probably the connector continues and only 5 of its 12 pins are drawn here. The small jogs in the side lines carry no meaning that could be read."
58 (B11),12-pole connector,radio,connector,link,row 1 left;row 1 right,n/a,read,book photo IMG_4726; scan p.407,Pass-through. 44 GN 0.75 drops from above and turns into the left pin (the number is cut off in the photo; the scan reads 44 GN 0.75) and leaves on the right as 44 GN 0.75. Its vertical is the one nearer the connector.
58 (B11),12-pole connector,radio,connector,link,row 1 left;50 GN 0.75,n/a,probably,book photo IMG_4726; scan p.407,"A second wire comes in from the left just below row 1 and rises diagonally into the heavy left frame about 45 px (photo) below the row 1 pin. The join is hidden in the frame, but the slope points at the pin. The number comes from the scan: 50 GN 0.75, on the vertical that runs down past lighter 48."
58 (B11),12-pole connector,radio,connector,link,row 2 left;row 2 right,n/a,read,book photo IMG_4726; scan p.407,"Pass-through. 42 BL 0.75 drops from above (the photo shows ""..L 0.75""; the scan reads 42 BL 0.75) on the vertical further left, turns into the left pin and leaves on the right as 42 BL 0.75. The row 1 diagonal's horizontal crosses its vertical with no dot."
58 (B11),12-pole connector,radio,connector,link,row 3 left;row 3 right,n/a,read,book photo IMG_4726; scan p.407,"126 BL 1.0 enters the left pin from the left. From the right pin, a line runs right a short way, then up to the end of the 160 GL 0.75 horizontal (a plain corner), so 160 GL leaves the pin that 126 BL enters."
58 (B11),12-pole connector,radio,connector,link,row 3 left;126a BL 1.0,n/a,probably,book photo IMG_4726; scan p.407,"A second wire leaves the left frame about 53 px (photo) below the row 3 pin, runs diagonally down-left, then left, then straight down to lighter 48. The join is hidden in the frame, but the slope points at the pin. The label is from the scan (126a BL 1.0 beside 48); the photo shows only its final ""0"". It leaves on the same (left) side as 126, not through the connector."
58 (B11),12-pole connector,radio,connector,link,row 4 left;row 4 right,n/a,read,book photo IMG_4726,Pass-through. An unlabelled line comes in on the left (its label is outside the photo); 186 BR 0.75 leaves on the right.
58 (B11),12-pole connector,radio,connector,link,row 5 left;row 5 right,n/a,read,book photo IMG_4726,Pass-through. An unlabelled line comes in on the left; 185 GR 0.75 leaves on the right. At the right edge of the photo it turns down toward a heavy box that is probably 3-pole connector 57.
58 (D8),12-pole connector,,connector,terminals,1;2;3;4;5;6;7;8;9;10;11,n/a,read,book photo IMG_4723; scan p.407,"No pin numbers printed: numbered 1-11 left to right in drawing order only. Pin 1 alone at the left; 2, 3, 4 at a tight pitch; 5 alone about three pitches right of 4; 6-11 at the right end. ""58"" printed above the gap between pins 1 and 2. Only 11 pins drawn for a 12-pole connector. Upper side = switch side (41, 61); lower side = harness."
58 (D8),12-pole connector,,connector,link,118 SV 1.5 (41 bottom);118 SV 1.5 (to horn 40),n/a,read,book photo IMG_4723; book photo IMG_4715,Pin 1. Labelled above and below; below it runs down then left. IMG_4715 shows 118 SV 1.5 at horn 40.
58 (D8),12-pole connector,,connector,link,88 BL 0.75 (61:31b);88 BL (to relay 83),n/a,read,book photo IMG_4723,"Pin 2. Lower run unlabelled, down then left."
58 (D8),12-pole connector,,connector,link,nothing drawn above;96 GR 0.75 (to 67:86),n/a,probably,book photo IMG_4723; scan p.407,"Pin 3. Nothing enters from the switch side. Below, a line leaves the lower edge about 35 px (photo) right of pin 3, jogs down-left and runs down directly under pin 3, then left, labelled 96 GR 0.75. Probably pin 3, fed from 61:S with the upper line left off the drawing."
58 (D8),12-pole connector,,connector,link,91 GL 0.75 (61:54c);91 GL (to relay 83),n/a,read,book photo IMG_4723,"Pin 4. Lower run unlabelled, down then left."
58 (D8),12-pole connector,,connector,link,85 BR 1.0 (61:53a);85 BR 1.0 (to fuse 4),n/a,read,book photo IMG_4723,"Pin 5. Labelled above and below; below it runs down then left, crossing 96 GR with no dot."
58 (D8),12-pole connector,,connector,link,"85 BR 1.0 (pin 5, lower side);182 BR/VT 0.75",n/a,read,book photo IMG_4723; scan p.407,"Branch: leaves the lower edge about 50 px (photo) right of pin 5, jogs down-right, runs right under the connector crossing pins 6-10 with no dots, and turns up at photo x 2145 (instrument supply)."
58 (D8),12-pole connector,,connector,link,87 GN 1.0 (61:53b);87 GN (to motor 62:3),n/a,read,book photo IMG_4723; scan p.407,"Pin 6. Continues straight down. Where pin 8's lower run crosses it both lines are broken, no junction."
58 (D8),12-pole connector,,connector,link,86 RD 1.0 (61:53);86 RD (to motor 62:5),n/a,read,book photo IMG_4723,Pin 7. Continues straight down.
58 (D8),12-pole connector,,connector,link,84 GN/VT 0.75 (61:INT);84 GN/VT (to relay 83),n/a,read,book photo IMG_4723; scan p.407,"Pin 8. Below it runs down, then left at photo y 2555, crossing pins 7 and 6 without junctions."
58 (D8),12-pole connector,,connector,link,"32 VT 0.75 (from the left, above);32 VT 0.75 (down)",n/a,read,book photo IMG_4723,Pin 9. Labelled on both sides; the upper side comes from a horizontal run from the left.
58 (D8),12-pole connector,,connector,link,"78 RD/VT 1.0 (top run);78 RD/VT 1.0 (right, below)",n/a,probably,book photo IMG_4723,"Pin 10. Through wire, turns right below at photo y 2620. Colour and size read; the 78 is smudged above and below (probably 78)."
58 (D8),12-pole connector,,connector,link,"75 BL/VT 1.0 (top run);75 BL/VT 1.0 (right, below)",n/a,read,book photo IMG_4723,"Pin 11. Through wire, turns right below at photo y 2535."
58 (E12),12-pole connector,signals; interior,connector,terminals,row 1 left;row 1 right;row 2 left;row 2 right;row 3 left;row 3 right;row 4 left;row 4 right,n/a,read,book photo IMG_4725; book photo IMG_4728; scan p.407,"No pin numbers printed, and only 4 of the 12 poles are drawn. Tall box with a heavy outline; its top edge is dashed (the optional seat-heating pin) and there is a thin inner outline at the bottom. The label 58 is below. The rows are unevenly spaced: row 1 is near the top, rows 2 and 3 are close together about halfway down, and row 4 is near the bottom. Each row has a filled dot on both inner edges. In IMG_4728, 138 is the third line leaving to the right, because row 1's right side leaves upward."
58 (E12),12-pole connector,signals; interior,connector,link,row 1 left;row 1 right,n/a,read,book photo IMG_4725; book photo IMG_4728; scan p.407,"140 GL 1.0 from fuse 5 (labelled on the left). The right side leaves upward, toward 59 and seat heating 64. It sits next to the dashed top edge."
58 (E12),12-pole connector,signals; interior,connector,link,row 2 left;row 2 right,n/a,read,book photo IMG_4725; book photo IMG_4728; scan p.407,"132 RD 1.0 from brake light switch 29 (labelled on the left), on toward the rear lamp clusters. The right side is labelled '132 RD 1.0' again."
58 (E12),12-pole connector,signals; interior,connector,link,row 3 left;row 3 right,n/a,read,book photo IMG_4725; book photo IMG_4728; scan p.407,"135 VT 1.0 from fuse 3 (labelled on the left), on to reversing light switch 31's top terminal (labelled '135 VT 1.0' on the right)."
58 (E12),12-pole connector,signals; interior,connector,link,row 4 left;row 4 right,n/a,read,book photo IMG_4725; book photo IMG_4728; scan p.407,"138 BL 1.0. The left side is labelled here and runs left across the page to the top-right corner of 58 (E2). The right side runs right, then down (labelled '138 BL 1.0' vertically), then right into 31's bottom terminal."
61,Wiper system switch,wipers,switch,terminals,31b;S;54c;53a;INT;53;53b,n/a,probably,book photo IMG_4723; scan p.407,"Bottom edge, left to right: 31b (x 0.13; only the 3 is clear, probably 31b), S (0.23; S read), 3rd terminal (0.33; label unreadable, lost in an ink blob; probably 54c as on the GLE symbol), 53a (0.63; no label of its own, tied inside to the circle printed 53a). Right edge, top to bottom: INT (y 0.25), 53 (0.42), 53b (0.59); positions read, labels unreadable, probably INT/53/53b from the GLE symbol, the wire colours and the position lines. Wires: 88 BL on 31b, 91 GL on 54c, 85 BR on 53a (all down to 58 (D8)); 84 GN/VT on INT, 86 RD on 53, 87 GN on 53b (right, then down). S has no wire drawn. Not printed: no handle, no position numbers."
61,Wiper system switch,wipers,switch,link,53a;53a circle,n/a,read,book photo IMG_4723,"Thin line from the circle printed 53a (0.73, 0.78) down, then diagonally down-left to the 53a bottom terminal (85 BR feed). The 53a circle is also the pivot of the washer blade and the foot of the 53a contact stack."
61,Wiper system switch,wipers,switch,bar,31b;lever,rests on U,read,book photo IMG_4723; scan p.407,"Main lever: thick bar from open circle S0 (0.17, 0.82) up-right to a rounded tip (0.84, 0.09); pivot boss at (0.51, 0.44) where the position lines meet; white slot in two parts either side of the boss. S0 and circle R (0.12, 0.65) both join 31b by thin lines. Drawn position is probably 0 (off)."
61,Wiper system switch,wipers,switch,contact,31b;U,closed,read,book photo IMG_4723,"U (0.30, 0.56) is joined to the lever by a solid neck, so at rest 31b reaches U. Probably the park/brake contact: still made in position 1 (the lever end then sits on R), open in 2 and 3. The strokes beside R and U are dashes of position line 1, not a contact."
61,Wiper system switch,wipers,switch,link,U;T1,n/a,read,book photo IMG_4723,"Inverted L: up from U at x 0.30 to near the top, right to 0.92, down, diagonal down-left to (0.81, 0.22), down to blob T1 (0.80, 0.41). The short stroke pointing left at (0.77, 0.30) is where position line 1 crosses it, not a contact."
61,Wiper system switch,wipers,switch,contact,T1;53,open,read,book photo IMG_4723; scan p.407,"Printed with a gap (about 26 px photo) between T1 and the 53 finger; the scan agrees. Probably meant to be joined: the park and brake path 88 BL, 31b, 53, 86 RD to motor 5 needs 31b-53 closed in positions 0 and 1, and the GLE symbol draws the L solid into 53. Car check."
61,Wiper system switch,wipers,switch,contact,53a;INT,open,probably,book photo IMG_4723,"Top contact of the 53a stack (flat-topped, x 0.71, y 0.33), the stroke on the L and the INT finger lie on position line 1. Probably position 1 (interval): 53a to INT, 84 GN/VT to relay 83."
61,Wiper system switch,wipers,switch,contact,53a;53,open,probably,book photo IMG_4723,"Middle 53a diamond (y 0.42), T1 and the 53 finger lie on the lower dashed line. Probably position 2 (slow): 53a to 53, 86 RD to motor 5."
61,Wiper system switch,wipers,switch,contact,53a;53b,open,probably,book photo IMG_4723,"Bottom 53a diamond (y 0.52), one dash and the 53b finger lie on the upper dashed line. Probably position 3 (fast): 53a to 53b, 87 GN to motor 3."
61,Wiper system switch,wipers,switch,contact,53a;S,open,probably,book photo IMG_4723,"Blob F (0.60-0.65, 0.43-0.53) faces the middle and bottom 53a diamonds with a gap and sits on the upper dashed line. Probably position 3: S fed at fast speed (manual text, GLE)."
61,Wiper system switch,wipers,switch,link,F;Q,n/a,read,book photo IMG_4723,"Thin straight line from F down-left into the top of circle Q (0.49, 0.80)."
61,Wiper system switch,wipers,switch,link,S;Q,n/a,read,book photo IMG_4723,"From the S terminal up-right to (0.36, 0.73), across to (0.46, 0.73), then down into Q."
61,Wiper system switch,wipers,switch,link,P;Q,closed,read,book photo IMG_4723; scan p.407,"Solid line between P (0.41, 0.80) and Q, in the photo and on the scan. As printed it ties S to 54c (91 GL). The GLE symbol keeps them apart, and with this link fast wipe would run the washer pump: probably a drafting error. Car check."
61,Wiper system switch,wipers,switch,link,54c;P,n/a,read,book photo IMG_4723,"Thin line from P down-left into the 3rd bottom terminal; its last few px are inside an ink blob, so the join is read from its direction."
61,Wiper system switch,wipers,switch,contact,53a;Q,open,probably,book photo IMG_4723,"Washer blade: short thick bar pivoting at the 53a circle, running down-left to the bottom edge under P. A finger on it faces Q across a gap (about 25 px photo). Probably position 4 (pull, spring return): 53a feeds S and 54c. Its lower-left end merges with the border next to 54c (unreadable), but it must not touch 54c at rest."
64,Seat heating element with thermostat,interior,heater,terminals,U1;U2;L1;L2,n/a,read,book photo IMG_4729; scan p.407,"No labels printed; names ours: the open circles at each end of the two heating elements (U upper, L lower; 1 = thermostat end, 2 = connector 59 end). The thermostat box sits at the left with '64' to its left; its leads leave the right side at the top (to U1) and the bottom (to L1). U2 goes to 59's upper row (141 SV 1.0 beyond), L2 to 59's lower row (140 GL 1.0 beyond). The photo cuts off at the box's right edge; the elements and labels are read on the scan."
64,Seat heating element with thermostat,interior,heater,thermostat,U1;L1,open,read,book photo IMG_4729; scan p.407,"Top contact circle hangs from the top wall; a thick blade slants from it down to the right and runs into the right inner wall, well clear of the bottom contact circle on the centre of the bottom wall. Drawn open. Probably the warm state: a seat heater thermostat is closed when cold, and it is the only control in this circuit."
64,Seat heating element with thermostat,interior,heater,resistor,U1;U2,n/a,read,scan p.407,Upper heating element: a meander with three square humps between open circles U1 and U2. Probably one of the cushion and backrest pads.
64,Seat heating element with thermostat,interior,heater,resistor,L1;L2,n/a,read,scan p.407,"Lower heating element, same shape. Series path: 140 GL, L2, lower element, L1, thermostat, U1, upper element, U2, 141 SV to earth."
66 lower,Headlight wiper motor,wipers,motor,terminals,pin 1;pin 2;pin 4,n/a,read,book photo IMG_4710; scan p.407,"No pin numbers printed; names are ours, by the row of lower 123 each pin meets. Only three pins, on the inside of the heavy right end wall: rows 1 and 2, then a one-row gap, then the return pin at the 4th row position (no pin 3). Otherwise the same as the upper motor, including the non-electrical diagonal stroke at the upper left (probably the shaft)."
66 lower,Headlight wiper motor,wipers,motor,motor,resistor;pin 4,n/a,read,book photo IMG_4710,Circle marked M in the round left end of the housing. Its upper-right lead goes to the resistor; its lower-right lead runs straight along the bottom of the housing to pin 4 (the return: 99a SV to earth).
66 lower,Headlight wiper motor,wipers,motor,resistor,J;motor,n/a,read,book photo IMG_4710,"J is the filled junction dot on the top lead. Small rectangle just under the housing top, crossed by a diagonal that overshoots both ends (lower-left end touches the motor circle, upper-right end the housing top): a variable/non-linear resistor symbol with no marking. Probably a thermal (PTC) overload in series with the motor."
66 lower,Headlight wiper motor,wipers,motor,diode,pin 1;J,n/a,read,book photo IMG_4710,"In the top lead between J (left) and pin 1 (right). Bar on the J side; triangle with its wide base on the pin 1 side, pointing left: conducts pin 1 to J (anode pin 1, cathode J). Probably stops the park feed at J back-feeding 98/97."
66 lower,Headlight wiper motor,wipers,motor,park switch,pin 2;J,open,read,book photo IMG_4710,"Pivot circle level with pin 2, joined to it by a horizontal line. The thick blade slants down to the right and stops just up and to the right of the fixed contact, which sits directly below the pivot. The fixed contact joins J by an L-shaped line (down from J, then right). Probably closes once the motor leaves park, so + on pin 2 (95a/95b) runs it on until it parks."
66 upper,Headlight wiper motor,wipers,motor,terminals,pin 1;pin 2;pin 3;pin 4,n/a,read,book photo IMG_4710; scan p.407,"No pin numbers printed; names are ours, counted top to bottom to match the rows of upper 123. Open circles on the inside of the heavy right end wall, evenly spaced; each runs straight right to the same row of upper 123. Pin 3 has nothing inside (97 BR leaves it on the outside only). The thick diagonal stroke at the housing's upper left is not electrical (probably the wiper shaft). The manual prints no link from pin 3 to pin 1, so none is listed here."
66 upper,Headlight wiper motor,wipers,motor,motor,resistor;pin 4,n/a,read,book photo IMG_4710,Circle marked M in the round left end of the housing. Its upper-right lead goes to the resistor; its lower-right lead runs straight along the bottom of the housing to pin 4 (the return: 99 SV to earth).
66 upper,Headlight wiper motor,wipers,motor,resistor,J;motor,n/a,read,book photo IMG_4710,"J is the filled junction dot on the top lead. Small rectangle just under the housing top, crossed by a diagonal that overshoots both ends (lower-left end touches the motor circle, upper-right end the housing top): a variable/non-linear resistor symbol with no marking. Probably a thermal (PTC) overload in series with the motor."
66 upper,Headlight wiper motor,wipers,motor,diode,pin 1;J,n/a,read,book photo IMG_4710,"In the top lead between J (left) and pin 1 (right). Bar on the J side; triangle with its wide base on the pin 1 side, pointing left: conducts pin 1 to J (anode pin 1, cathode J). Probably stops the park feed at J back-feeding 98/97."
66 upper,Headlight wiper motor,wipers,motor,park switch,pin 2;J,open,read,book photo IMG_4710,"Pivot circle level with pin 2, joined to it by a horizontal line. The thick blade slants down to the right and stops just up and to the right of the fixed contact, which sits directly below the pivot. The fixed contact joins J by an L-shaped line (down from J, then right). Probably closes once the motor leaves park, so + on pin 2 (95a/95b) runs it on until it parks."
67,"Relay, headlight wiper motor",wipers,relay,terminals,87;88;85;87a;88a;86,n/a,read,book photo IMG_4717; scan p.407,"Square box. On the left edge, top to bottom: 87, 88, 85. On the right edge, top to bottom: 87a, 88a, 86. 85 and 86 are level, near the bottom; 88 and 88a are level; 87a sits a little higher than 87. In IMG_4717 '85' prints like '65' (the scan reads 85). 87a has no external wire. The manual prints no other element."
67,"Relay, headlight wiper motor",wipers,relay,contact,87;87a,closed,read,book photo IMG_4717; scan p.407,"Upper blade, pivoted at an inner circle with a short lead to 87. It slants up to the right and its tip touches the 87a fixed-contact circle, which has a short lead to the 87a terminal. 87a has no external wire, so on this diagram the contact switches nothing."
67,"Relay, headlight wiper motor",wipers,relay,contact,88;88a,open,read,book photo IMG_4717; scan p.407,"Lower blade, pivoted at an inner circle with a short lead to 88. It slants up to the right and its tip stops clearly above the 88a fixed-contact circle, which is level with the pivot. Make contact, although DIN 72552 uses 88a for a break output. It probably switches + from 88 (95, after the 3 A fuse) onto 98 GL to run the motors."
67,"Relay, headlight wiper motor",wipers,relay,coil,85;86,n/a,read,book photo IMG_4717; scan p.407,"Upright rectangle with a lower-left to upper-right diagonal, standing on the inner bottom border at the centre. Horizontal leads run left to 85 and right to 86. Fed at 86 by 96 GR from wiper switch 61. Earthed at 85 through the 85-87 link and 100 SV."
67,"Relay, headlight wiper motor",wipers,relay,link,coil;88 blade;87 blade,n/a,read,book photo IMG_4717; scan p.407,"Mechanical link, not a conductor: a dashed vertical from the middle of the coil's top up through the lower blade to the upper blade."
67,"Relay, headlight wiper motor",wipers,relay,link,85;87,n/a,read,book photo IMG_4717; scan p.407,"Conductor drawn outside the box, on the left. 87's lead runs left, turns down at a corner, crosses 88's lead and the 95 diagonal without joining, and meets 85's lead in a plain T. That gives the coil its earth through 87 and 100 SV. The jumper is read. Its cable number is probably 100a: '100a SV 0.75' is printed on a tail below the T, whose arrowhead points up at the T and whose lower end is free."
73,"Service outlet, ignition",,connector,terminals,4;5;6;1;2;3,n/a,read,book photo IMG_4717; scan p.407,"Six open-circle pins on the inside of a heavy ring, numbers printed beside them, clockwise from 12 o'clock: 4 (12), 5 (2), 6 (4), 1 (6), 2 (8), 3 (10). No internal elements: a plain socket. 1: 280 GR 1.5 down then right. 2: 281 SV 1.5 in at 8 o'clock. 3: 282 GL 1.0 ends on the ring at about 10:30, nearest pin 3 (probably pin 3). 4: its own line straight up, unlabelled at 73 (probably 283 GN/VT 0.75 from 58 (A4) pin 4). 5: 204 GL 0.75 leaves level with the pin; 284a BL 0.75 leaves diagonally just above it (probably pin 5 too). 6: no wire. A small light mark in the ring under pin 1 (photo and scan) is unreadable, probably a print flaw. Not drawn on any sheet yet (only tagged on power and ignition)."
74,"Resistance, low speed, ventilator fan",climate,other,terminals,left lead;right lead,n/a,read,book photo IMG_4725; scan p.407,"No labels printed. The leads leave the left and right ends of a small landscape box (about 1.8:1, very heavy outline) above 57 (F11); the label 74 is above it. Right lead: right, down, across 57's row-1 right line without a dot, then left into 57 row 2 right. Left lead: left, then straight down onto 57's top edge at the top-left corner, where it merges into the heavy outline with no dot. Which pin the left lead joins is unreadable. It is probably row 1: joining row 2 would short the resistor out, and joining row 3 (earth) would short the low-speed feed."
74,"Resistance, low speed, ventilator fan",climate,other,resistor,left lead;right lead,n/a,read,book photo IMG_4725; scan p.407,"Square-wave meander of about two loops between an open circle at each inner end of the box. It is in series in the low-speed path: 35:6, 104 GR, 57 row 2, 74, then back into 57 at the top-left corner."
89,Start inhibitor relay,ignition,relay,terminals,85;87;87a;86;30,n/a,read,book photo IMG_4716; book photo IMG_4717; scan p.407,"Square box. 85, 87 and 87a sit on the top edge, left to right, at about 25%, 50% and 75% of the width. 86 and 30 sit on the bottom edge at about 25% and 77%. The '87' glyphs overlap the 87 terminal. 87a is printed as '87' with a small 'a' below it. The manual prints nothing else inside 89 (no starter solenoid, resistor or diode). The empty, unnumbered square of the same size to its right is not part of 89."
89,Start inhibitor relay,ignition,relay,coil,85;86,n/a,read,book photo IMG_4716; book photo IMG_4717; scan p.407,"Horizontal rectangle with a lower-left to upper-right diagonal. It runs from the inner left border to about mid-width, centred vertically. A vertical lead from 85 comes down onto its top, and one from its bottom goes down to 86. Earthed at 85 by 201 SV. Energised at 86 by 122 GL from ignition switch 50 (the scan trace supports 122)."
89,Start inhibitor relay,ignition,relay,contact,30;87,open,read,book photo IMG_4716; book photo IMG_4717; scan p.407,"Left blade. Its pivot circle is at the bottom and it leans right. Its fixed-contact circle is up-left of the tip, with a clear gap, and has a diagonal lead up-left to 87. Normally open. It probably feeds 122a to the starter solenoid, plus 271 and 282, while cranking."
89,Start inhibitor relay,ignition,relay,contact,30;87a,open,read,book photo IMG_4716; book photo IMG_4717; scan p.407,"Right blade, drawn the same way as the left one. Its fixed-contact circle has a vertical lead up to 87a. It is printed as a second normally open contact, even though DIN 72552 uses 87a for a break contact. It probably feeds 394 to bypass ballast resistor 147 only while cranking (30 is always live)."
89,Start inhibitor relay,ignition,relay,bar,30;87 blade pivot;87a blade pivot,n/a,read,book photo IMG_4716; book photo IMG_4717; scan p.407,"A short line joins the two pivot circles. Only the right pivot drops to 30, so 30 feeds both blades. A small solid dot is printed just below this bar, left of centre, with nothing attached. Its meaning is unreadable, so leave it off."
